2025-12-31 21:35:08.727 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-12-31 21:44:31.443 [main] INFO  com.tju.elm.business.BusinessServiceApplication - Starting BusinessServiceApplication using Java 17.0.12 with PID 22096 (G:\LE\elm-microservices\elm_cloud\business-service\target\classes started by 26302 in G:\LE\elm-microservices\elm_cloud)
2025-12-31 21:44:31.445 [main] INFO  com.tju.elm.business.BusinessServiceApplication - The following 1 profile is active: "dev"
2025-12-31 21:44:31.961 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-31 21:44:31.963 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-31 21:44:31.984 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2025-12-31 21:44:32.357 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8882 (http)
2025-12-31 21:44:32.367 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-31 21:44:32.367 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-12-31 21:44:32.416 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-31 21:44:32.416 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 940 ms
2025-12-31 21:44:33.315 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8882 (http) with context path '/'
2025-12-31 21:44:33.323 [main] INFO  com.tju.elm.business.BusinessServiceApplication - Started BusinessServiceApplication in 2.272 seconds (process running for 2.7)
2025-12-31 21:44:47.307 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-31 21:44:47.399 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-12-31 21:58:07.521 [main] INFO  com.tju.elm.order.OrderServiceApplication - Starting OrderServiceApplication using Java 17.0.12 with PID 25688 (G:\LE\elm-microservices\elm_cloud\order-service\target\classes started by 26302 in G:\LE\elm-microservices\elm_cloud)
